Beckmann rearrangement	Schmidt reaction
Australian Secret Intelligence Service	Intelligence Services Amendment Act 2004
Marlin Coast Sunbus	Garden City Sunbus
Cursillo	Tres Dias
SS Robert E. Peary	United States Navy
Austrian Cultural Forum New York	Irene Harand
Destroyer (disambiguation)	Destroyer (comics)
Águila Islet	Extreme points of the Antarctic
Wac Corporal	Private (missile)
Beşiktaş J.K. PAF	Beşiktaş Cola Turka
Pentanguishene Naval Yard	Kingston Royal Naval Dockyard
Miedniewice, Łódź Voivodeship	Miedniewice, Masovian Voivodeship
MoinMoin	Zwiki
Prilep Municipality	Municipalities of the Republic of Macedonia
Pacta sunt servanda	Breach of contract
Ottawa Catholic School Board	Ottawa-Carleton District School Board
Hanoi Hannah	Hanoi Jane
Board of governors	Board of directors
Li Yan (Three Kingdoms)	Romance of the Three Kingdoms
Islam in Scotland	Religion in the United Kingdom
Hamilton Underground Film Festival	Chicago Underground Film Festival
Luisa Capetillo	Corsican immigration to Puerto Rico
Israeli navy	Palyam
Qianlong Emperor	Canton System
Pacific Northwest	Indigenous peoples of the Pacific Northwest Coast
Riley Dobi Noel	Capital punishment in the United States
Sioux City Explorers	KMEG
Egyptian Expeditionary Force	History of Palestine
Pluto	Pluto in fiction
Astra 31.5°E	Astra 5°E
Urdaneta City University	Local colleges and universities
Joel v Morison	Tort law
Hera (rocket)	Hera
CLG Doire Trasna	Derry Intermediate Football Championship
Xterm	Eterm
Culture of entitlement	Welfare state
Australian air Express	Qantas
Slasher film	Bloody Disgusting
New Freedom Commission on Mental Health	Psychotherapy
UniversalIndentGUI	Prettyprint
Halmyris	Peuce Island
What does Jesus want?	Sermon on the Mount
Eastern Australian Football League	US Footy
NHL Challenge	Rendez-vous '87
Intelligent Parking Assist System	Advanced Parking Guidance System
Travel document	Visa (document)
Green highway	Green Highways Partnership - Founded by D. Lueckenhoff, US EPA Region 3
DOEF	Phenethylamine
Asian Australian	British Asian
Venus (mythology)	Etruscan mythology
Garrison Cadet College Kohat	Cadet College Palandri
Eastern religion	Western religion
Jules and Jim	Beatrice Wood
1888 Minneapolis General Conference	History of the Seventh-day Adventist Church
Flow measurement	Volumetric flow rate
Leak noise correlator	Domestic water system
Cleveland in the American Civil War	Cleveland Civil War Roundtable
Shirley & Company	One-hit wonders in the UK
Careers Through Culinary Arts Program	501(c)
Guantánamo Bay	Platt Amendment
The Troubles	Chronology of the Northern Ireland Troubles
Sam Harris (author)	Philosophical realism
Roger Shepard	Mental rotation
Eleventh Battle of the Isonzo	First Battle of the Isonzo
Star Académie	Music of Quebec
Nomenclature of Territorial Units for Statistics	Local administrative unit
Żaglowiec Group	Żyrafa Group
SWEEPS-10	Sagittarius Window Eclipsing Extrasolar Planet Search
Westpac	Westpac Rescue Helicopter (New Zealand)
Broadcast Television Systems Inc.	Grass Valley (company)
Dabqaad	Galguduud
Quakers Hill railway station, Sydney	Western railway line, Sydney
In My Defens God Me Defend	Scotland
Zfone	Gizmo Project
History of trams	Tram
Nutrient systems	Feed mill
Nair	Kettu Kalyanam
Circumferential Road 5	Manila-Cavite Expressway
1995 ACC Baseball Tournament	NCAA Division I Baseball Championship
USS Leland E. Thomas (DE-420)	World War II
Straszków, Gmina Kościelec	Straszków, Gmina Kłodawa
Tenra War	Tenra Bansho
Spiculum	Pole weapon
UAAP Football Championship	NCAA Philippines Football Championship
Satori	Zen
Whisky a Go Go	Troubadour (nightclub)
Dace	Shiner (fish)
The Sandman (Vertigo)	The Sandman (DC Comics Golden Age)
Base (topology)	Subbase
Cryobot	Autonomous Underwater Vehicle
Jeong-an kingdom	Balhae
New Zealand at the 2006 Commonwealth Games	New Zealand Olympic Committee
Sextus Julius Frontinus	Vitruvius
Ilkowice, Miechów County	Ilkowice, Tarnów County
Baltimore riot of 1968	Louisville riots of 1968
Power line communication	Smart Grid
Toy Porno	Vieuphoria
Episcopal Diocese of Long Island	Succession of Bishops of the Episcopal Church in the United States
Likert scale	Ipsative
Anthony Davis	Antonio Davis
Whole life insurance	Term life insurance
Computerized system validation	Quality Assurance
Shell Lake murders	École Polytechnique Massacre
War crime	Transitional justice
Hiroshima Peace Memorial Park	Children's Peace Monument
Teaching method	Educational psychology
Preboot Execution Environment	Cobbler (software)
Wordfast	Translation memory
MSC Daniela	Emma Maersk
2004 NAIA Men's Division I Basketball Tournament	2004 NCAA Women's Division I Basketball Tournament
Silabenzene	Pyridine
Knowledge building	Knowledge Forum
Technician	Engineering technician
Democrats (Greenland)	Liberalism
InfiniBand	InfiniBand Trade Association
2006 Australian football code crowds	Australian rules football attendance records
Chemogenomics	QSAR
Kumba (roller coaster)	Busch Gardens
Yilgarn Craton	Narryer gneiss
Fire fighting foam	Foam path
Philip Danforth Armour	Gustavus Franklin Swift
Arsole	Distillation
Sigma Lambda Phi	SLP
USSTRATCOM Center for Combating Weapons of Mass Destruction	National Counterproliferation Center
Disk enclosure	SGPIO
Southeast Limburgish	Low Rhenish
DiskCryptor	Disk encryption
Circoscrizione	Frazione
Grande ceinture Ouest	Transilien Paris Saint-Lazare
Child labour	Street children
Munafiq	Sabbateans
County Route 581 (New Jersey)	County routes in New Jersey
Mosul	Sulfur dioxide
Airbrush	Species
Going postal	Road rage (phenomenon)
Scotch College, Perth	Tertiary Entrance Exam
Rob Brydon's Annually Retentive	It's Garry Shandling's Show
Israel (disambiguation)	Twelve Tribes
Civil religion	Sociology of religion
Camp (surname)	Census in Canada
Mega Channel	Mega Channel Cyprus
Sentry gun	Goalkeeper CIWS
Pact	Impact
Generator	Generate
Alderman	Local government in Canada
Damned	Damnation
Toyokawa Inari	Glossary of Japanese Buddhism
Multiple organ dysfunction syndrome	Intensive care
Mongolia	Foreign relations of Mongolia
NTelos	Personal Communications Service
2000 Florida Gators softball team	Florida Gators softball
United Nations Population Fund	Reproductive rights
Agglutination (biology)	Immune System
Transgene	Gene pool
Federal grants (USA)	Economics
1993 FINA Short Course World Championships - Men's 100m Freestyle	European LC Championships 1993 - Men's 100m Freestyle
Anarky	Anarcho-capitalist literature
G. R. S. Mead	Gospel of Marcion
Louisiana Purchase	State of Minnesota
Nederlandsche Vereeniging van Antiquaren	Antiquarian Booksellers' Association of America
Rugbrød	German cuisine
Nothing	Void
Alberta general election, 1948	1957 Alberta Liquor Plebiscite
Nasal bone	Bone
Nuclear fallout	Survival Under Atomic Attack
Sleep-learning	Mozart effect
Vellechevreux-et-Courbenans	Communes of the Haute-Saône department
Water	Water vapor
Paymaster of the Forces	British Army
Montureux-et-Prantigny	Communes of the Haute-Saône department
Katharine Gun	Graymail
Boissières	Hérault
Critical point (thermodynamics)	Lower critical solution temperature
Night Owls (1930 film)	Stan Laurel
Polyura dolon	Nymphalidae
Nash (tugboat)	SS John W. Brown
Tone contour	Tone letter
Snæfellsjökull	Volcanism in Iceland
Jane Addams	John H. Addams Homestead
History of the Alabama Cooperative Extension System	Cooperative Extension Service
2006 Canadian incumbents	2005 Canadian incumbents
Wayan Vota	Inveneo
Burney Relief	Mesopotamian mythology
Natsume Sōseki	Japanese literature
Reverse discrimination	Color blindness (race)
Slavery in the British and French Caribbean	Slavery in Barbados
New Zealand one dollar coin	Coins of the New Zealand dollar
Mutrécy	Communes of the Calvados department
Pseudocerastes persicus fieldi	Snakebite
Iraqis in Denmark	Denmark–Iraq relations
Fundamental theorem of linear algebra	Rank–nullity theorem
Panjetan-e-Pak	Al-Mubahila
Lectionary 5	Textual criticism
Broken Hill Football League	AFL NSW/ACT
Metropolitan Borough of Holborn	Metropolis Management Act 1855
Premillennialism	Jewish eschatology
Mesenchyme	Intramembranous ossification
Admission to practice law	Disbarment
Southern and Northern Dynasties	Buddhism in China
System	System of systems
Lionel de Rothschild	History of the Jews in England
New Zealand National Airways Corporation Flight 441	Air New Zealand Flight 901
Lake Tianchi Monster	Loch Ness Monster
Laws (dialogue)	Totalitarianism
Pierre Benoit (archaeologist)	Jerusalem Bible
Kenilworth (disambiguation)	Killingworth, Connecticut
5-Hydroxytryptophan	Vitamin B6
František Palacký	Tomáš Garrigue Masaryk
Drought in India	Peak water
Lahore Fort	Hassan Nasir
Eggnog	Eierpunsch
Production-possibility frontier	Production, costs, and pricing
HOXB8	Homeobox
Her Majesty's Government Communication Centre	GCHQ
Cavitation	Ultrasonics
Hospodar	Voivode
10th Golden Raspberry Awards	62nd Academy Awards
Icarus Project	Psychosurgery
Many-worlds interpretation	Garden of Forking Paths
Döner kebab	Cağ kebab
Fructose	High fructose corn syrup
Fox hunting	Deer hunting
Thompsonville, Kansas	Topeka metropolitan area
Macron	Diacritics
Brick	Mortar (masonry)
Gall	Cola-nut gall
David Wilder (Hebron)	Judea
Pakistan Army	Pakistan and weapons of mass destruction
United Baltic Duchy	Aftermath of World War I
Dermabrasion	Microdermabrasion
Supralabial scales	Labial scales
Dover, New Hampshire	Dover (Amtrak station)
Brody Małe, Lublin Voivodeship	Brody Małe, Masovian Voivodeship
Saliha	Metawali
Farmer Field School	Organic farming
Guandao	Dadao
Economic anthropology	Society for economic anthropology
Pait likkhi	Watta satta
Scott G. Stewart	Chairpersons of the College Republicans
1996 Little League World Series	Little League
Geography and cartography in medieval Islam	Timeline of Muslim scientists and engineers
Order of Saint Prince Lazarus	Order of the White Eagle (Yugoslavia)
Charles Barron	New York City Council
FÉLIN	Projekt TYTAN
Elections in Bulgaria	Electoral calendar
Council of Ministers of Iraq	Iraq
Robert Hooke	Hooke's atom
Seira	Mermaid Melody
Hokie Hotline	Frank Beamer
Low-pass filter	Digital filter
SABB	British Arab Commercial Bank
Protest	Fare strike
Geography of California	4000 meter peaks of California
Hossein Noori Hamedani	Grand Ayatollahs
Klattasine	Frederick Seymour
Resort	Ski resort
Varaha	Tulsi
Bad Amanda	Ugly Betty
Oflag 64	Oflag
